commodity,scenario,severity,horizon_months,threshold,prob_exceed
cotton,baseline,0.0,3,0.05,0.296
cotton,baseline,0.0,3,0.1,0.13
cotton,baseline,0.0,3,0.15,0.0481
cotton,baseline,0.0,3,0.2,0.0179
cotton,baseline,0.0,6,0.05,0.3748
cotton,baseline,0.0,6,0.1,0.2271
cotton,baseline,0.0,6,0.15,0.128
cotton,baseline,0.0,6,0.2,0.0681
cotton,baseline,0.0,12,0.05,0.4352
cotton,baseline,0.0,12,0.1,0.3265
cotton,baseline,0.0,12,0.15,0.2333
cotton,baseline,0.0,12,0.2,0.1649
cotton,baseline,0.25,3,0.05,0.296
cotton,baseline,0.25,3,0.1,0.13
cotton,baseline,0.25,3,0.15,0.0481
cotton,baseline,0.25,3,0.2,0.0179
cotton,baseline,0.25,6,0.05,0.3748
cotton,baseline,0.25,6,0.1,0.2271
cotton,baseline,0.25,6,0.15,0.128
cotton,baseline,0.25,6,0.2,0.0681
cotton,baseline,0.25,12,0.05,0.4352
cotton,baseline,0.25,12,0.1,0.3265
cotton,baseline,0.25,12,0.15,0.2333
cotton,baseline,0.25,12,0.2,0.1649
cotton,baseline,0.5,3,0.05,0.296
cotton,baseline,0.5,3,0.1,0.13
cotton,baseline,0.5,3,0.15,0.0481
cotton,baseline,0.5,3,0.2,0.0179
cotton,baseline,0.5,6,0.05,0.3748
cotton,baseline,0.5,6,0.1,0.2271
cotton,baseline,0.5,6,0.15,0.128
cotton,baseline,0.5,6,0.2,0.0681
cotton,baseline,0.5,12,0.05,0.4352
cotton,baseline,0.5,12,0.1,0.3265
cotton,baseline,0.5,12,0.15,0.2333
cotton,baseline,0.5,12,0.2,0.1649
cotton,baseline,0.75,3,0.05,0.296
cotton,baseline,0.75,3,0.1,0.13
cotton,baseline,0.75,3,0.15,0.0481
cotton,baseline,0.75,3,0.2,0.0179
cotton,baseline,0.75,6,0.05,0.3748
cotton,baseline,0.75,6,0.1,0.2271
cotton,baseline,0.75,6,0.15,0.128
cotton,baseline,0.75,6,0.2,0.0681
cotton,baseline,0.75,12,0.05,0.4352
cotton,baseline,0.75,12,0.1,0.3265
cotton,baseline,0.75,12,0.15,0.2333
cotton,baseline,0.75,12,0.2,0.1649
cotton,baseline,1.0,3,0.05,0.296
cotton,baseline,1.0,3,0.1,0.13
cotton,baseline,1.0,3,0.15,0.0481
cotton,baseline,1.0,3,0.2,0.0179
cotton,baseline,1.0,6,0.05,0.3748
cotton,baseline,1.0,6,0.1,0.2271
cotton,baseline,1.0,6,0.15,0.128
cotton,baseline,1.0,6,0.2,0.0681
cotton,baseline,1.0,12,0.05,0.4352
cotton,baseline,1.0,12,0.1,0.3265
cotton,baseline,1.0,12,0.15,0.2333
cotton,baseline,1.0,12,0.2,0.1649
cotton,baseline,1.25,3,0.05,0.296
cotton,baseline,1.25,3,0.1,0.13
cotton,baseline,1.25,3,0.15,0.0481
cotton,baseline,1.25,3,0.2,0.0179
cotton,baseline,1.25,6,0.05,0.3748
cotton,baseline,1.25,6,0.1,0.2271
cotton,baseline,1.25,6,0.15,0.128
cotton,baseline,1.25,6,0.2,0.0681
cotton,baseline,1.25,12,0.05,0.4352
cotton,baseline,1.25,12,0.1,0.3265
cotton,baseline,1.25,12,0.15,0.2333
cotton,baseline,1.25,12,0.2,0.1649
cotton,baseline,1.5,3,0.05,0.296
cotton,baseline,1.5,3,0.1,0.13
cotton,baseline,1.5,3,0.15,0.0481
cotton,baseline,1.5,3,0.2,0.0179
cotton,baseline,1.5,6,0.05,0.3748
cotton,baseline,1.5,6,0.1,0.2271
cotton,baseline,1.5,6,0.15,0.128
cotton,baseline,1.5,6,0.2,0.0681
cotton,baseline,1.5,12,0.05,0.4352
cotton,baseline,1.5,12,0.1,0.3265
cotton,baseline,1.5,12,0.15,0.2333
cotton,baseline,1.5,12,0.2,0.1649
cotton,baseline,1.75,3,0.05,0.296
cotton,baseline,1.75,3,0.1,0.13
cotton,baseline,1.75,3,0.15,0.0481
cotton,baseline,1.75,3,0.2,0.0179
cotton,baseline,1.75,6,0.05,0.3748
cotton,baseline,1.75,6,0.1,0.2271
cotton,baseline,1.75,6,0.15,0.128
cotton,baseline,1.75,6,0.2,0.0681
cotton,baseline,1.75,12,0.05,0.4352
cotton,baseline,1.75,12,0.1,0.3265
cotton,baseline,1.75,12,0.15,0.2333
cotton,baseline,1.75,12,0.2,0.1649
cotton,baseline,2.0,3,0.05,0.296
cotton,baseline,2.0,3,0.1,0.13
cotton,baseline,2.0,3,0.15,0.0481
cotton,baseline,2.0,3,0.2,0.0179
cotton,baseline,2.0,6,0.05,0.3748
cotton,baseline,2.0,6,0.1,0.2271
cotton,baseline,2.0,6,0.15,0.128
