commodity,scenario,severity,month_offset,month,p2.5,p10,p25,p50,p75,p90,p95,p97.5
cotton,baseline,0.0,1,2026-01,1.4528011434221042,1.542210439726265,1.5910437328667695,1.634782511918274,1.6828147458192584,1.7226438298542548,1.7610315946062183,1.8026950841140277
cotton,baseline,0.0,2,2026-02,1.4137688575903335,1.5009970010175093,1.5722314748923902,1.6381111634126548,1.7073464426338545,1.7788499012266563,1.8256184751133786,1.8718143826175624
cotton,baseline,0.0,3,2026-03,1.365985969466879,1.4732094125622879,1.5583474701086102,1.6420856690234766,1.7301694914325256,1.815934844471899,1.8714991863908286,1.9284663183840576
cotton,baseline,0.0,4,2026-04,1.3287069793116153,1.4508946808378942,1.546308089541448,1.6443797385326506,1.7479704005160275,1.8496191348173139,1.916137263195115,1.9761410897285947
cotton,baseline,0.0,5,2026-05,1.3044555525618093,1.429830152846697,1.5359464228757584,1.6487025585543562,1.7611837957400542,1.8780019711088975,1.9561282262040443,2.0262138587092537
cotton,baseline,0.0,6,2026-06,1.2846387883668027,1.414577020861726,1.5264320928889201,1.6529581645473848,1.779004163026498,1.9090472227507875,1.991696696909274,2.0642086984547507
cotton,baseline,0.0,7,2026-07,1.258466445063052,1.397114299026488,1.5182045425194812,1.6524961696055553,1.7948955964972697,1.9337270052675795,2.0249305889585396,2.0969227494732734
cotton,baseline,0.0,8,2026-08,1.2398812842866265,1.379357500556515,1.5112934518676242,1.6565715975015087,1.8078984429091653,1.9580366512326683,2.0563261838259383,2.1439528509910915
cotton,baseline,0.0,9,2026-09,1.2214553359330758,1.367459141419851,1.5056950769639146,1.662443796752192,1.8236955259321719,1.9831122092345435,2.0871337325982746,2.1872866482531426
cotton,baseline,0.0,10,2026-10,1.213346303861375,1.3620756601466608,1.4999523332809153,1.6622305775815909,1.8339210080143937,2.008686917213735,2.118824697570706,2.2203156548230165
cotton,baseline,0.0,11,2026-11,1.193438895045249,1.3466159992902524,1.4963632860093972,1.6638349025062151,1.8462198773447516,2.0276947390548927,2.1395016571261047,2.2581263653892614
cotton,baseline,0.0,12,2026-12,1.1746897770475944,1.3317241298109055,1.4873431532393377,1.667257284469629,1.858492695337202,2.0554767422693296,2.183424371880099,2.2955367456179356
cotton,baseline,0.25,1,2026-01,1.4528011434221042,1.542210439726265,1.5910437328667695,1.634782511918274,1.6828147458192584,1.7226438298542548,1.7610315946062183,1.8026950841140277
cotton,baseline,0.25,2,2026-02,1.4137688575903335,1.5009970010175093,1.5722314748923902,1.6381111634126548,1.7073464426338545,1.7788499012266563,1.8256184751133786,1.8718143826175624
cotton,baseline,0.25,3,2026-03,1.365985969466879,1.4732094125622879,1.5583474701086102,1.6420856690234766,1.7301694914325256,1.815934844471899,1.8714991863908286,1.9284663183840576
cotton,baseline,0.25,4,2026-04,1.3287069793116153,1.4508946808378942,1.546308089541448,1.6443797385326506,1.7479704005160275,1.8496191348173139,1.916137263195115,1.9761410897285947
cotton,baseline,0.25,5,2026-05,1.3044555525618093,1.429830152846697,1.5359464228757584,1.6487025585543562,1.7611837957400542,1.8780019711088975,1.9561282262040443,2.0262138587092537
cotton,baseline,0.25,6,2026-06,1.2846387883668027,1.414577020861726,1.5264320928889201,1.6529581645473848,1.779004163026498,1.9090472227507875,1.991696696909274,2.0642086984547507
cotton,baseline,0.25,7,2026-07,1.258466445063052,1.397114299026488,1.5182045425194812,1.6524961696055553,1.7948955964972697,1.9337270052675795,2.0249305889585396,2.0969227494732734
cotton,baseline,0.25,8,2026-08,1.2398812842866265,1.379357500556515,1.5112934518676242,1.6565715975015087,1.8078984429091653,1.9580366512326683,2.0563261838259383,2.1439528509910915
cotton,baseline,0.25,9,2026-09,1.2214553359330758,1.367459141419851,1.5056950769639146,1.662443796752192,1.8236955259321719,1.9831122092345435,2.0871337325982746,2.1872866482531426
cotton,baseline,0.25,10,2026-10,1.213346303861375,1.3620756601466608,1.4999523332809153,1.6622305775815909,1.8339210080143937,2.008686917213735,2.118824697570706,2.2203156548230165
cotton,baseline,0.25,11,2026-11,1.193438895045249,1.3466159992902524,1.4963632860093972,1.6638349025062151,1.8462198773447516,2.0276947390548927,2.1395016571261047,2.2581263653892614
cotton,baseline,0.25,12,2026-12,1.1746897770475944,1.3317241298109055,1.4873431532393377,1.667257284469629,1.858492695337202,2.0554767422693296,2.183424371880099,2.2955367456179356
cotton,baseline,0.5,1,2026-01,1.4528011434221042,1.542210439726265,1.5910437328667695,1.634782511918274,1.6828147458192584,1.7226438298542548,1.7610315946062183,1.8026950841140277
cotton,baseline,0.5,2,2026-02,1.4137688575903335,1.5009970010175093,1.5722314748923902,1.6381111634126548,1.7073464426338545,1.7788499012266563,1.8256184751133786,1.8718143826175624
cotton,baseline,0.5,3,2026-03,1.365985969466879,1.4732094125622879,1.5583474701086102,1.6420856690234766,1.7301694914325256,1.815934844471899,1.8714991863908286,1.9284663183840576
cotton,baseline,0.5,4,2026-04,1.3287069793116153,1.4508946808378942,1.546308089541448,1.6443797385326506,1.7479704005160275,1.8496191348173139,1.916137263195115,1.9761410897285947
